,Case Number,Date,Year,Country,Area,Location,Sex ,Age,Activity,Time_int,Time_cat,Fatal,Species
205,2016.10.14,2016-10-14,2016.0,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",F,66,swimming,09,,N,Uncomfirmed Species
206,2016.10.13.R,2016-10-13,2016.0,MEXICO,,Guadalupe Island,M,,swimming,,,,White Shark
207,2016.10.12,2016-10-12,2016.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,25,surfing,10,,N,Uncomfirmed Species
208,2016.10.10,2016-10-10,2016.0,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",M,29,surfing,16,,N,Uncomfirmed Species
209,2016.10.02,2016-10-02,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,21,surfing,11,,N,Uncomfirmed Species
210,2016.10.01,2016-10-01,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,32,surfing,17,,N,Uncomfirmed Species
211,2016.09.26,2016-09-26,2016.0,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",M,17,surfing,,,N,White Shark
212,2016.09.18.c,2016-09-18,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,16,surfing,13,,N,Uncomfirmed Species
213,2016.09.18.b,2016-09-18,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,36,surfing,11,,N,Uncomfirmed Species
214,2016.09.18.a,2016-09-18,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,43,surfing,10,,N,Uncomfirmed Species
215,2016.09.17.b,2016-09-17,2016.0,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",M,43,surfing,,afternoon,N,Uncomfirmed Species
216,2016.09.17.a,2016-09-17,2016.0,AUSTRALIA,Victoria,Thirteenth Beach,M,,surfing,,,N,Uncomfirmed Species
217,2016.09.15,2016-09-15,2016.0,AUSTRALIA,Victoria,Bells Beach,M,,surfing,,,N,Uncomfirmed Species
218,2016.09.15.R,2016-09-15,2016.0,AUSTRALIA,Western Australia,Bunbury,,,fishing,,,N,Uncomfirmed Species
219,2016.09.11,2016-09-11,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",M,60,swimming,15,,N,Uncomfirmed Species
220,2016.09.07,2016-09-07,2016.0,USA,Hawaii,"Makaha, Oahu",F,51,swimming,14,,N,Tiger Shark
221,2016.09.06,2016-09-06,2016.0,NEW CALEDONIA,North Province,Koumac,M,50,surfing,15,,Y,Uncomfirmed Species
222,2016.09.05.b,2016-09-05,2016.0,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",F,12,surfing,,afternoon,N,Uncomfirmed Species
223,2016.09.05.a,2016-09-05,2016.0,AUSTRALIA,Western Australia,Injidup ,M,,surfing,,afternoon,N,Uncomfirmed Species
224,2016.09.04,2016-09-04,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,9,surfing,,,N,Uncomfirmed Species
225,2016.09.01,2016-09-01,2016.0,USA,California,"Refugio State Beach, Santa Barbara County",M,22,fishing,,,N,White Shark
227,2016.08.29.b,2016-08-29,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,25,surfing,15,,N,Bull Shark
228,2016.08.29.a,2016-08-29,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,37,surfing,14,,N,Uncomfirmed Species
229,2016.08.27,2016-08-27,2016.0,REUNION,,Boucan Canot,M,20,surfing,17,,N,Bull Shark
230,2016.08.25,2016-08-25,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",M,49,swimming,16,,N,Uncomfirmed Species
231,2016.08.07,2016-08-07,2016.0,BAHAMAS,New Providence Island,Nassau,M,15,swimming,,,N,Uncomfirmed Species
232,2016.08.06,2016-08-06,2016.0,USA,Hawaii,Maui,M,21,surfing,16,,N,Tiger Shark
233,2016.08.04,2016-08-04,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,22,surfing,,,N,Uncomfirmed Species
234,2016.07.29,2016-07-29,2016.0,SPAIN,Alicante Province,Arenales del Sol,M,40,swimming,11,,N,Uncomfirmed Species
235,2016.07.28.R,2016-07-28,2016.0,CHINA,Hong Kong,,M,72,swimming,,,N,Uncomfirmed Species
236,2016.07.28,2016-07-28,2016.0,AUSTRALIA,Western Australia,Near Albany,M,,sailing,,,N,White Shark
237,2016.07.27,2016-07-27,2016.0,USA,Florida,"Florida Keys, Monroe County",M,43,others,,,N,Uncomfirmed Species
238,2016.07.26,2016-07-26,2016.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,18,surfing,12,,N,Uncomfirmed Species
239,2016.07.24,2016-07-24,2016.0,JAPAN,Kochi Prefecture,Irino Beach,M,29,surfing,19,,N,Uncomfirmed Species
240,2016.07.23.b,2016-07-23,2016.0,AUSTRALIA,Tasmania,Clifton Beach,M,36,surfing,,,N,Uncomfirmed Species
241,2016.07.23.a,2016-07-23,2016.0,BAHAMAS,Abaco Islands,Green Turtle Cay,M,,fishing,,,N,Bull Shark
242,2016.07.20,2016-07-20,2016.0,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",M,31,fishing,,afternoon,N,Uncomfirmed Species
243,2016.07.17,2016-07-17,2016.0,USA,Alabama,8 miles off Mobile,,,fishing,,,N,Tiger Shark
244,2016.07.16.b,2016-07-16,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",F,9,surfing,,,N,Uncomfirmed Species
245,2016.07.16.a,2016-07-16,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",F,11,others,11,,N,Uncomfirmed Species
246,2016.07.15.b,2016-07-15,2016.0,USA,California,"Surfside, Orange County",M,61,surfing,17,,N,White Shark
247,2016.07.15.a,2016-07-15,2016.0,USA,South Carolina,"North Myrtle Beach, Horry County",M,,swimming,,,N,Uncomfirmed Species
248,2016.07.14.R,2016-07-14,2016.0,BAHAMAS,,Tiger Beach,M,,swimming,,,N,Uncomfirmed Species
249,2016.07.08.R,2016-07-08,2016.0,SPAIN,Canary Islands,"Las Teresitas, Tenerife",F,10,swimming,,,N,Uncomfirmed Species
250,2016.07.08,2016-07-08,2016.0,USA,California,"Capitola, Santa Cruz County",M,,fishing,,,N,White Shark
251,2016.07.07.b,2016-07-07,2016.0,USA,Massachusetts,"Off Gloucester, Essec County",M,59,fishing,10,,N,Uncomfirmed Species
252,2016.07.07.a,2016-07-07,2016.0,USA,California,"Off Palos Verdes peninsula, Los Angeles County",M,,swimming,,,N,White Shark
253,2016.07.06,2016-07-06,2016.0,USA,Florida,"Melbourne Beach, Brevard County",F,42,swimming,14,,N,Uncomfirmed Species
254,2016.07.04,2016-07-04,2016.0,AUSTRALIA,Queensland,Palm Cove ,M,34,fishing,22,,N,Uncomfirmed Species
255,2016.06.27,2016-06-27,2016.0,USA,South Carolina,Sullivan's Island,M,35,others,16,,N,Uncomfirmed Species
256,2016.06.25,2016-06-25,2016.0,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,11,surfing,14,,N,Uncomfirmed Species
257,2016.06.24,2016-06-24,2016.0,COLUMBIA,Isla Provedencia,,M,59,swimming,11,,N,Uncomfirmed Species
258,2016.06.23,2016-06-23,2016.0,SOUTH AFRICA,Western Cape Province,Ryspunt,M,43,fishing,,,N,White Shark
259,2016.06.21.b,2016-06-21,2016.0,USA,South Carolina,"North Myrtle Beach, Horry County",M,42,swimming,15,,N,Uncomfirmed Species
260,2016.06.21.a,2016-06-21,2016.0,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",M,,swimming,14,,N,Uncomfirmed Species
261,2016.06.15.b,2016-06-15,2016.0,USA,Hawaii,"Kalapaki Beach, Kauai",M,,surfing,06,,N,Uncomfirmed Species
262,2016.06.15.a,2016-06-15,2016.0,AUSTRALIA,Western Australia,Coral Bay,M,19,fishing,,,N,Uncomfirmed Species
263,2016.06.14,2016-06-14,2016.0,USA,Texas,"Pirates Beach, Galveston",F,6,swimming,17,,N,Uncomfirmed Species
264,2016.06.11,2016-06-11,2016.0,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,19,surfing,15,,N,Uncomfirmed Species
265,2016.06.07,2016-06-07,2016.0,USA,South Carolina,"Folly Beach, Charleston County",M,27,surfing,11,,,Uncomfirmed Species
266,2016.06.05.b,2016-06-05,2016.0,USA,Florida,"Flagler Beach, Flagler County",M,64,swimming,08,,N,Uncomfirmed Species
267,2016.06.05.a,2016-06-05,2016.0,AUSTRALIA,Western Australia,Mindarie,F,60,swimming,11,,Y,Uncomfirmed Species
268,2016.06.04,2016-06-04,2016.0,EGYPT,Suez,Ain Sokhna,M,23,swimming,,morning,N,Uncomfirmed Species
269,2016.06.02.b,2016-06-02,2016.0,AUSTRALIA,New South Wales,Kingscliff,M,,fishing,,,,Uncomfirmed Species
270,2016.06.02.a,2016-06-02,2016.0,NEW CALEDONIA,," Côte-Blanche, Nouméa ",M,,surfing,,afternoon,N,Uncomfirmed Species
271,2016.05.31,2016-05-31,2016.0,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",M,29,surfing,16,,Y,White Shark
272,2016.05.29.b,2016-05-29,2016.0,USA,California,"Corona Del Mar, Newport, Orange County",F,52,swimming,16,,N,Uncomfirmed Species
273,2016.05.29.a,2016-05-29,2016.0,USA,Florida,"Neptune, Duval County",M,13,swimming,15,,N,Uncomfirmed Species
274,2016.05.22,2016-05-22,2016.0,USA,Florida,"Vero Beach, Indian River County",F,57,swimming,12,,N,Uncomfirmed Species
275,2016.05.21.b,2016-05-21,2016.0,USA,Florida,"St. Petersburg, Pinellas County",F,22,swimming,18,,N,Bull Shark
276,2016.05.21.a,2016-05-21,2016.0,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",F,11,swimming,17,,N,Uncomfirmed Species
277,2016.05.18,2016-05-18,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",M,48,swimming,,morning,N,Uncomfirmed Species
278,2016.05.15,2016-05-15,2016.0,USA,Florida,"Boca Raton, Palm Beach County",F,23,swimming,13,,N,Uncomfirmed Species
279,2016.05.03,2016-05-03,2016.0,USA,Hawaii,"Wailea Beach, Maui",M,59,swimming,15,,N,Uncomfirmed Species
280,2016.05.02,2016-05-02,2016.0,NEW ZEALAND,North Island,Cormandel,M,39,fishing,,afternoon,N,Uncomfirmed Species
281,2016.04.25,2016-04-25,2016.0,INDONESIA,Bali,Balian,M,24,surfing,07,,N,Bull Shark
282,2016.04.23,2016-04-23,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,15,surfing,17,,N,Uncomfirmed Species
283,2016.04.22,2016-04-22,2016.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",M,,swimming,08,,N,White Shark
284,2016.04.19,2016-04-19,2016.0,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",M,12,swimming,12,,N,Wobbegong Shark
285,2016.04.18.b,2016-04-18,2016.0,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,M,22,fishing,,morning,,Uncomfirmed Species
286,2016.04.18.a,2016-04-18,2016.0,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,M,26,fishing,,morning,N,Uncomfirmed Species
287,2016.04.13,2016-04-13,2016.0,USA,Florida,"Off Singer Island, Palm Beach County",M,26,fishing,,,N,Bull Shark
288,2016.04.09,2016-04-09,2016.0,NEW CALEDONIA,Grand Terre,Poe Beach,F,69,swimming,10,,Y,Tiger Shark
289,2016.04.08,2016-04-08,2016.0,CAPE VERDE,Boa Vista Island,,M,60,others,,,,Uncomfirmed Species
290,2016.04.07.b,2016-04-07,2016.0,USA,Florida,"Florida Keys, Monroe County",M,34,fishing,,,N,Uncomfirmed Species
291,2016.04.07.a,2016-04-07,2016.0,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",M,,others,,,,Uncomfirmed Species
292,2016.03.31,2016-03-31,2016.0,USA,Hawaii,"Olowalu, Maui",F,46,swimming,11,,N,Uncomfirmed Species
293,2016.03.30,2016-03-30,2016.0,AUSTRALIA,New South Wales,Bombo Beach,M,22,surfing,19,,N,Uncomfirmed Species
294,2016.03.28.b,2016-03-28,2016.0,USA,Florida,"Fort Myers Beach, Lee County",M,,others,,,,Uncomfirmed Species
295,2016.03.28.a,2016-03-28,2016.0,AUSTRALIA,New South Wales,North Cronulla Beach,M,41,surfing,11,,N,Uncomfirmed Species
296,2016.03.26,2016-03-26,2016.0,BAHAMAS,,,M,9,others,,,N,Uncomfirmed Species
297,2016.03.13,2016-03-13,2016.0,USA,California,"Bolsa Chica State Park, Orange County",,,surfing,,morning,,Uncomfirmed Species
298,2016.03.11,2016-03-11,2016.0,USA,Florida,"Vero Beach, St. Lucie County",M,19,surfing,13,,N,Uncomfirmed Species
299,2016.03.10,2016-03-10,2016.0,Fiji,Vanua Levu,,M,45,swimming,,afternoon,Y,Uncomfirmed Species
300,2016.03.04,2016-03-04,2016.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",M,12,others,,afternoon,N,Uncomfirmed Species
301,2016.03.03.R,2016-03-03,2016.0,AUSTRALIA,South Australia,Wrights Bay,M,,fishing,,night,N,Uncomfirmed Species
302,2016.03.02,2016-03-02,2016.0,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,M,41,swimming,,,N,Tiger Shark
303,2016.02.22,2016-02-22,2016.0,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",M,21,surfing,19,,N,Uncomfirmed Species
304,2016.02.19,2016-02-19,2016.0,NEW CALEDONIA,South Province,Yate,M,31,fishing,16,,N,Uncomfirmed Species
305,2016.02.12,2016-02-12,2016.0,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",F,,swimming,15,,N,Uncomfirmed Species
306,2016.02.10.R,2016-02-10,2016.0,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,M,65,swimming,,,,Uncomfirmed Species
307,2016.02.10,2016-02-10,2016.0,AUSTRALIA,Tasmania,Nettley Bay,M,,surfing,12,,,Uncomfirmed Species
308,2016.02.05,2016-02-05,2016.0,AUSTRALIA,Queensland,Stradbroke Island,F,45,swimming,13,,N,Uncomfirmed Species
309,2016.02.04,2016-02-04,2016.0,AUSTRALIA,New South Wales,Hams Beach,M,40,surfing,,afternoon,N,Uncomfirmed Species
310,2016.02.02,2016-02-02,2016.0,BRAZIL,Balneário Camboriú,Estaleirinho beach,M,41,swimming,,,N,Tiger Shark
311,2016.01.29,2016-01-29,2016.0,SOUTH AFRICA,KwaZulu-Natal,,M,,fishing,,,N,Uncomfirmed Species
312,2016.01.28,2016-01-28,2016.0,USA,Hawaii,"Hanalei Bay, Kauai",M,,surfing,14,,N,Uncomfirmed Species
313,2016.01.25,2016-01-25,2016.0,USA,Hawaii,"Hanalei Bay, Kauai, ",F,15,surfing,11,,N,Uncomfirmed Species
314,2016.01.24.b,2016-01-24,2016.0,USA,Texas,Off Surfside,M,,fishing,09,,N,Bull Shark
315,2016.01.24.a,2016-01-24,2016.0,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,M,,fishing,,,N,Uncomfirmed Species
316,2016.01.23,2016-01-23,2016.0,USA,Hawaii,"Wailea Beach, Maui",M,48,surfing,,morning,N,Tiger Shark
317,2016.01.11.R,2016-01-11,2016.0,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",M,,surfing,,,N,Wobbegong Shark
318,2016.01.05,2016-01-05,2016.0,AUSTRALIA,Queensland,Heron Island,M,11,swimming,,afternoon,N,Uncomfirmed Species
319,2016.01.02,2016-01-02,2016.0,AUSTRALIA,Queensland,Miall Island,M,31,fishing,11,,N,Uncomfirmed Species
320,2015.12.26,2015-12-26,2015.0,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,M,,fishing,,morning,N,White Shark
321,2015.12.25,2015-12-25,2015.0,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",F,38,swimming,,,N,Uncomfirmed Species
322,2015.12.22,2015-12-22,2015.0,USA,Hawaii,La'aloa Beach Park,M,71,surfing,,morning,N,Uncomfirmed Species
323,2015.12.21.b,2015-12-21,2015.0,AUSTRALIA,New South Wales,Bondi Beach,M,43,surfing,07,,N,Uncomfirmed Species
324,2015.12.21.a,2015-12-21,2015.0,BRAZIL,Pernambuco,Fernano de Noronha,M,32,swimming,,,N,Tiger Shark
325,2015.12.19,2015-12-19,2015.0,ARUBA,,Boat capsized,M,58,sailing,,,Y,Uncomfirmed Species
326,2015.12.13,2015-12-13,2015.0,AUSTRALIA,New South Wales,Lake Macquarie,,,fishing,10,,N,White Shark
327,2015.12.11,2015-12-11,2015.0,BAHAMAS,,Off Andros Island,M,26,fishing,,,N,Bull Shark
328,2015.12.08,2015-12-08,2015.0,SOUTH AFRICA,Eastern Cape Province,Mpande,F,22,swimming,,morning,N,Uncomfirmed Species
329,2015.11.20,2015-11-20,2015.0,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",M,55,swimming,10,,N,Uncomfirmed Species
330,2015.11.16,2015-11-16,2015.0,USA,Florida,"Playalinda Beach, Brevard County",M,,surfing,,afternoon,N,Uncomfirmed Species
331,2015.11.15.b,2015-11-15,2015.0,USA,Florida,"Palm Beach, Palm Beach County",F,,swimming,11,,N,Uncomfirmed Species
332,2015.11.15.a,2015-11-15,2015.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",M,28,surfing,,,N,Uncomfirmed Species
333,2015.11.10,2015-11-10,2015.0,AUSTRALIA,New South Wales,East Ballina,M,20,surfing,18,,N,Bull Shark
334,2015.12.23,2015-12-23,2015.0,USA,Florida,"Paradise Beach, Melbourne, Brevard County",F,9,surfing,11,,,Uncomfirmed Species
335,2015.11.03,2015-11-03,2015.0,USA,Hawaii,"Kehena Beach, Hawaii",M,54,swimming,11,,N,Uncomfirmed Species
336,2015.11.01.b,2015-11-01,2015.0,USA,Florida,"Cocoa Beach, Brevard  County",F,28,swimming,14,,N,Uncomfirmed Species
337,2015.11.01.a,2015-11-01,2015.0,MOZAMBIQUE,Inhambane Province,Maxixe,M,19,fishing,04,,N,Uncomfirmed Species
338,2015.10.30,2015-10-30,2015.0,AUSTRALIA,Western Australia,Bald Island,M,50,fishing,,,N,Uncomfirmed Species
339,2015.10.28.a,2015-10-28,2015.0,USA,Hawaii,"Malaka, Oahu",M,10,surfing,14,,N,Uncomfirmed Species
340,2015.10.25,2015-10-25,2015.0,SOUTH AFRICA,Western Cape Province,Stil Bay,M,42,surfing,15,,N,White Shark
341,2015.10.21,2015-10-21,2015.0,USA,Florida,"Playalinda Beach, Brevard County",M,21,surfing,14,,N,Uncomfirmed Species
342,2015.10.19,2015-10-19,2015.0,USA,Florida,"Deerfield Beach, Broward County",M,21,surfing,13,,N,Uncomfirmed Species
343,2015.10.17.c,2015-10-17,2015.0,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",F,35,fishing,,,Y,Uncomfirmed Species
344,2015.10.17.b,2015-10-17,2015.0,USA,Hawaii,"Waikiki, ",M,32,surfing,19,,,Uncomfirmed Species
345,2015.10.17.a,2015-10-17,2015.0,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",M,44,swimming,11,,N,Tiger Shark
346,2015.10.13,2015-10-13,2015.0,USA,California,"Off Leffingwell Landing, San Luis Obispo County",M,,fishing,11,,N,Hammerhead Shark
347,2015.10.09.b,2015-10-09,2015.0,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",F,9,surfing,16,,N,Uncomfirmed Species
348,2015.10.09.a,2015-10-09,2015.0,USA,Hawaii,"Leftovers, Oahu",M,25,surfing,10,,N,Tiger Shark
349,2015.10.08,2015-10-08,2015.0,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",M,,fishing,,,N,Uncomfirmed Species
350,2015.10.07,2015-10-07,2015.0,AUSTRALIA,Western Australia,Pyramids Beach,M,18,surfing,16,,N,Uncomfirmed Species
351,2015.10.05.b,2015-10-05,2015.0,USA,Florida,"Pepper Park Beach, St. Lucie County",M,22,surfing,13,,N,Uncomfirmed Species
352,2015.10.05.a,2015-10-05,2015.0,USA,Texas,Galveston,M,13,swimming,10,,N,Uncomfirmed Species
353,2015.10.04,2015-10-04,2015.0,USA,Florida,"New Smyrna Beach, Volusia County",M,14,surfing,08,,N,Uncomfirmed Species
354,2015.09.29,2015-09-29,2015.0,USA,Florida,"Vilano Beach, St.  Johns County",M,22,surfing,16,,N,Uncomfirmed Species
355,2015.09.26,2015-09-26,2015.0,AUSTRALIA,Queensland,"Russel Island, Frankland Group",F,7,swimming,,afternoon,N,Uncomfirmed Species
356,2015.09.24,2015-09-24,2015.0,USA,California,"Horseshoe Rock, Santa Barbara County",M,,fishing,10,,N,White Shark
357,2015.09.20.d,2015-09-20,2015.0,USA,Florida,"New Smyrna Beach, Volusia County",M,14,surfing,16,,N,Uncomfirmed Species
358,2015.09.20.c,2015-09-20,2015.0,USA,Hawaii,"Upolu Point, North Kohala, Big Island",M,27,fishing,15,,N,Tiger Shark
359,2015.09.20.b,2015-09-20,2015.0,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",M,12,swimming,12,,N,Uncomfirmed Species
360,2015.09.20.a,2015-09-20,2015.0,USA,Florida,"Vilano Beach, St.  Johns County",M,16,fishing,07,,N,Uncomfirmed Species
361,2015.09.19,2015-09-19,2015.0,USA,California,"Gaviota State Beach, Santa Barbara County",M,,fishing,,,N,Hammerhead Shark
362,2015.09.18,2015-09-18,2015.0,USA,Florida,"Big Talbot Island, Duval County",M,,swimming,19,,N,Uncomfirmed Species
363,2015.09.17,2015-09-17,2015.0,USA,Florida,"Jacksonville Beach, Duval County",M,20,surfing,15,,N,Uncomfirmed Species
364,2015.09.08,2015-09-08,2015.0,AUSTRALIA,New South Wales,North Shelly Beach,M,42,surfing,06,,N,Uncomfirmed Species
365,2015.09.06,2015-09-06,2015.0,USA,California,"El Pescador Beach, Los Angeles County",F,50,surfing,17,,N,White Shark
366,2015.09.05,2015-09-05,2015.0,USA,California,"Deer Creek Beach, Ventura County",M,29,fishing,14,,N,Hammerhead Shark
367,2015.09.04,2015-09-04,2015.0,AUSTRALIA,New South Wales,Hallidays Point,M,62,swimming,11,,N,White Shark
368,2015.09.03,2015-09-03,2015.0,USA,South Carolina,"Myrtle Beach, Horry County",M,,others,16,,N,Uncomfirmed Species
369,2015.09.01,2015-09-01,2015.0,THAILAND,Phuket,Karon Beach,F,37,swimming,08,,N,Uncomfirmed Species
370,2015.09.00,,2015.0,FIJI,,,M,,fishing,,,N,Tiger Shark
371,2015.08.29.b,2015-08-29,2015.0,USA,California,"Morro Strand State Beach, San Luis Obispo County",F,54,surfing,10,,N,White Shark
372,2015.08.29.a,2015-08-29,2015.0,USA,California,"Morro Bay, San Luis Obispo County",M,21,surfing,10,,N,White Shark
373,2015.08.22.b,2015-08-22,2015.0,USA,Florida,"Cocoa Beach, Brevard  County",M,,others,19,,,Uncomfirmed Species
374,2015.08.22.a,2015-08-22,2015.0,AUSTRALIA,New South Wales,Lighthouse Beach,M,38,surfing,17,,N,Uncomfirmed Species
375,2015.08.20,2015-08-20,2015.0,USA,South Carolina,"Murrells Inlet, Georgetown County",M,15,surfing,12,,N,Uncomfirmed Species
376,2015.08.19,2015-08-19,2015.0,USA,Florida,"Jacksonville Beach, Duval County",F,10,swimming,15,,N,Uncomfirmed Species
377,2015.08.18.b,2015-08-18,2015.0,USA,California,Santa Barbara County,M,22,fishing,07,,N,White Shark
378,2015.08.18.a,2015-08-18,2015.0,SPAIN,Alicante,"Poniente Beach, Benidorm",M,10,swimming,11,,,Uncomfirmed Species
379,2015.08.10,2015-08-10,2015.0,USA,California,Cortes Bank,M,57,fishing,08,,N,Hammerhead Shark
380,2015.07.31,2015-07-31,2015.0,AUSTRALIA,New South Wales,Evans Head,M,52,surfing,06,,N,White Shark
381,2015.07.28,2015-07-28,2015.0,COSTA RICA,Guanacaste,Playa Grande,M,47,surfing,,,N,Uncomfirmed Species
382,2015.07.27,2015-07-27,2015.0,AUSTRALIA,Victoria,Tyrendarra Beach,M,40,surfing,,,,Uncomfirmed Species
383,2015.07.26.b,2015-07-26,2015.0,USA,Florida,"Daytona Beach, Volusia County",M,25,surfing,19,,N,Uncomfirmed Species
384,2015.07.26.a,2015-07-26,2015.0,USA,South Carolina,"Edisto Beach, Colleton County",F,35,swimming,10,,,Uncomfirmed Species
385,2015.07.25,2015-07-25,2015.0,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",M,46,swimming,10,,Y,White Shark
386,2015.07.23.b,2015-07-23,2015.0,USA,California,"La Jolla, San Diego County",M,31,fishing,,,N,Uncomfirmed Species
387,2015.07.23.a,2015-07-23,2015.0,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,M,40,surfing,,,N,Uncomfirmed Species
388,2015.07.22,2015-07-22,2015.0,REUNION,,St. Leu,M,45,surfing,,,N,Bull Shark
389,2015.07.19,2015-07-19,2015.0,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,M,34,surfing,,,N,White Shark
390,2015.07.10,2015-07-10,2015.0,USA,California,"Huntington Beach, Orange County",M,38,surfing,08,,N,White Shark
391,2015.07.08,2015-07-08,2015.0,USA,California,"Huntington Beach, Orange County",M,39,swimming,,,,Uncomfirmed Species
392,2015.07.06,2015-07-06,2015.0,FRENCH POLYNESIA,Bora Bora,,M,,swimming,,,,Uncomfirmed Species
393,2015.07.04.b,2015-07-04,2015.0,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",F,23,fishing,,,N,Uncomfirmed Species
394,2015.07.04.a,2015-07-04,2015.0,USA,North Carolina,"Off Surf City, Pender County",M,32,others,,,N,Uncomfirmed Species
395,2015.07.03,2015-07-03,2015.0,AUSTRALIA,New South Wales,Lennox Head,M,52,surfing,09,,N,White Shark
396,2015.07.02,2015-07-02,2015.0,AUSTRALIA,New South Wales,East Ballina,M,32,surfing,09,,N,White Shark
397,2015.07.01,2015-07-01,2015.0,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",M,68,swimming,12,,N,Uncomfirmed Species
398,2015.06.30.b,2015-06-30,2015.0,AUSTRALIA,New South Wales,"Flat Rock, Yamba",M,,surfing,,,N,Uncomfirmed Species
